Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.470199	1.698368	80.345902	77.610485	
0.100000	0.436833	0.443037	80.493211	80.871797	
0.100000	0.427392	0.410118	80.704645	81.709619	
0.100000	0.411834	0.375865	81.600986	83.551367	
0.100000	0.383937	0.352118	83.053480	84.606257	
0.100000	0.350118	0.315746	84.672928	86.241003	
0.100000	0.326138	0.291729	85.677858	87.236624	
0.100000	0.315649	0.285554	86.125207	87.524916	
0.100000	0.299922	0.285422	86.783805	87.429657	
0.100000	0.291145	0.271567	87.173174	88.039714	
0.100000	0.283817	0.260219	87.485194	88.547717	
0.100000	0.277917	0.252596	87.740907	88.976192	
0.100000	0.273128	0.247514	87.944415	89.221825	
0.100000	0.268865	0.257942	88.128279	88.621332	
0.100000	0.265270	0.246412	88.283406	89.234283	
0.100000	0.261676	0.234317	88.434140	89.738259	
0.100000	0.259004	0.230364	88.538382	89.888760	
0.100000	0.256464	0.240924	88.662714	89.450722	
0.100000	0.254475	0.231763	88.750369	89.799290	
0.100000	0.252360	0.229003	88.843076	90.004656	
0.100000	0.250594	0.231956	88.922667	89.810741	
0.100000	0.248960	0.228653	88.988312	89.960487	
0.100000	0.247218	0.224758	89.065507	90.155157	
0.100000	0.246578	0.233550	89.095503	89.843333	
0.100000	0.245080	0.220590	89.160533	90.292948	
0.100000	0.243912	0.218929	89.204890	90.485478	
0.100000	0.243198	0.223897	89.235900	90.148487	
0.100000	0.242206	0.219921	89.283514	90.396889	
0.100000	0.241287	0.219515	89.318256	90.488624	
0.100000	0.240607	0.221462	89.352061	90.269417	
0.010000	0.229690	0.199529	89.823355	91.267680	
0.010000	0.226425	0.197929	89.957409	91.330221	
0.010000	0.225363	0.196674	90.009983	91.366210	
0.010000	0.224588	0.195441	90.040133	91.419691	
0.010000	0.223721	0.195641	90.081250	91.426738	
0.010000	0.223280	0.194983	90.090496	91.448508	
0.010000	0.222872	0.195192	90.104672	91.422585	
0.010000	0.222496	0.194731	90.137234	91.444984	
0.010000	0.221817	0.194425	90.154835	91.455554	
0.010000	0.221505	0.194316	90.168382	91.468390	
0.010000	0.220901	0.194577	90.201250	91.412644	
0.010000	0.220773	0.193983	90.210957	91.485378	
0.010000	0.220356	0.194033	90.211188	91.473423	
0.010000	0.219968	0.193446	90.248003	91.502995	
0.010000	0.219625	0.193627	90.249677	91.475688	
0.010000	0.219571	0.193614	90.254930	91.505386	
0.010000	0.219250	0.191705	90.267141	91.553707	
0.010000	0.218944	0.191567	90.277800	91.552323	
0.010000	0.218664	0.192207	90.311790	91.557734	
0.010000	0.218536	0.193370	90.304525	91.493431	
0.010000	0.218340	0.192985	90.323401	91.491544	
0.010000	0.218173	0.192188	90.325306	91.559999	
0.010000	0.217485	0.192683	90.347162	91.528414	
0.010000	0.217314	0.194508	90.360063	91.449640	
0.010000	0.217271	0.191757	90.366284	91.568304	
0.010000	0.216944	0.193870	90.373840	91.471284	
0.010000	0.216837	0.191413	90.373902	91.573086	
0.010000	0.216679	0.192336	90.390198	91.516585	
0.010000	0.216435	0.192262	90.399306	91.554210	
0.010000	0.216432	0.193922	90.398062	91.467257	
0.001000	0.213663	0.189573	90.523668	91.648462	
0.001000	0.212745	0.189308	90.562266	91.657523	
0.001000	0.212474	0.189019	90.579407	91.673504	
0.001000	0.212320	0.189350	90.590204	91.665828	
0.001000	0.211942	0.188805	90.601247	91.681306	
0.001000	0.211983	0.188831	90.599297	91.693889	
0.001000	0.211804	0.188898	90.605978	91.691121	
0.001000	0.211796	0.188649	90.606408	91.693638	
0.001000	0.211502	0.188440	90.622013	91.708864	
0.001000	0.211712	0.188576	90.603966	91.691373	
0.001000	0.211483	0.188431	90.620630	91.692505	
0.001000	0.211377	0.188029	90.613181	91.727739	
0.001000	0.211067	0.188421	90.636281	91.702572	
0.001000	0.211013	0.187925	90.632687	91.725349	
0.001000	0.211034	0.188411	90.643915	91.715156	
0.001000	0.211207	0.187866	90.618326	91.725097	
0.001000	0.210860	0.188036	90.631351	91.721951	
0.001000	0.210631	0.188172	90.657876	91.717043	
0.001000	0.210646	0.187818	90.652101	91.726607	
0.001000	0.210637	0.188045	90.657062	91.700810	
0.001000	0.210240	0.188179	90.677981	91.704963	
0.001000	0.210660	0.188282	90.661055	91.707480	
0.001000	0.210293	0.188181	90.679763	91.710248	
0.001000	0.210430	0.188068	90.668950	91.725600	
0.001000	0.210251	0.187879	90.658782	91.723964	
0.001000	0.210321	0.187939	90.658429	91.724342	
0.001000	0.210093	0.188288	90.679456	91.712387	
0.001000	0.209746	0.188161	90.693955	91.705970	
0.001000	0.209939	0.187930	90.684248	91.722706	
0.001000	0.210079	0.187664	90.683480	91.741582	
