14041 / 3250 / 3453 sentences in train / dev / test.
Loaded 400000 pretrained embeddings.
word_to_id: 17493
Training Start at 2020/03/19 15:17:11
# Model Parameters: 2596855
Train: new_F: 0.9027598658756771 best_F: 0.9027598658756771 
Dev: new_F: 0.8480686695278971 best_F: 0.8480686695278971 
Test: new_F: 0.806736311239193 best_F: 0.806736311239193 
Saving Model to ./models/_20200319_151650_CNN_3_0_1 at 2020/03/19 15:33:48
Train: new_F: 0.93782316442606 best_F: 0.93782316442606 
Dev: new_F: 0.8776062112884935 best_F: 0.8776062112884935 
Test: new_F: 0.8243707625150923 best_F: 0.8243707625150923 
Saving Model to ./models/_20200319_151650_CNN_3_0_1 at 2020/03/19 15:50:21
Train: new_F: 0.9622645543369038 best_F: 0.9622645543369038 
Dev: new_F: 0.890038809831824 best_F: 0.890038809831824 
Test: new_F: 0.842526852357546 best_F: 0.842526852357546 
Saving Model to ./models/_20200319_151650_CNN_3_0_1 at 2020/03/19 16:06:53
Train: new_F: 0.9689249179695039 best_F: 0.9689249179695039 
Dev: new_F: 0.8909952606635071 best_F: 0.8909952606635071 
Test: new_F: 0.8361222772740021 best_F: 0.842526852357546 
Saving Model to ./models/_20200319_151650_CNN_3_0_1 at 2020/03/19 16:23:24
Train: new_F: 0.9808960703536896 best_F: 0.9808960703536896 
Dev: new_F: 0.9075184106867614 best_F: 0.9075184106867614 
Test: new_F: 0.8596237337192475 best_F: 0.8596237337192475 
Saving Model to ./models/_20200319_151650_CNN_3_0_1 at 2020/03/19 16:43:52
Train: new_F: 0.9821695175532141 best_F: 0.9821695175532141 
Dev: new_F: 0.9072639018990036 best_F: 0.9075184106867614 
Test: new_F: 0.8673725771715721 best_F: 0.8673725771715721 
Train: new_F: 0.9841127673639989 best_F: 0.9841127673639989 
Dev: new_F: 0.9051702181849053 best_F: 0.9075184106867614 
Test: new_F: 0.8613347647164071 best_F: 0.8673725771715721 
Train: new_F: 0.9848746666666668 best_F: 0.9848746666666668 
Dev: new_F: 0.9114010403342714 best_F: 0.9114010403342714 
Test: new_F: 0.8674112772473429 best_F: 0.8674112772473429 
Saving Model to ./models/_20200319_151650_CNN_3_0_1 at 2020/03/19 17:00:04
Train: new_F: 0.9848183972839665 best_F: 0.9848746666666668 
Dev: new_F: 0.905858099982821 best_F: 0.9114010403342714 
