Word 1,Word 2,Human (mean),Spearmanr,Cosin
love,sex,6.77,-0.007006675166879172,-0.011591572314500809
tiger,cat,7.35,-0.03460886522163054,-0.033299703150987625
tiger,tiger,10.0,1.0,1.0
book,paper,7.46,0.04945173629340734,0.0525154285132885
computer,keyboard,7.62,0.17798094952373814,0.1767968237400055
computer,internet,7.58,0.044671116777919455,0.06548473984003067
plane,car,5.77,0.024488112202805074,0.02958366461098194
train,car,6.31,0.030657766444161107,0.032509833574295044
telephone,communication,7.5,-0.05706892672316809,-0.06027340888977051
television,radio,6.77,0.0803195079876997,0.09672389924526215
media,radio,7.42,-0.04448961224030601,-0.046785712242126465
drug,abuse,6.85,-0.05605940148503713,-0.058221686631441116
bread,butter,6.19,-0.06563114077851948,-0.045491818338632584
cucumber,potato,5.92,,
doctor,nurse,7.0,-0.1269226730668267,-0.12715181708335876
professor,doctor,6.62,0.025392634815870396,0.023049931973218918
student,professor,6.81,0.06622065551638792,0.05674678459763527
smart,student,4.62,0.06075751893797345,0.06195497885346413
smart,stupid,5.81,-0.06380409510237757,-0.07616372406482697
company,stock,7.08,-0.03888697217430436,-0.035950515419244766
stock,market,8.08,0.014725868146703671,0.0175242330878973
stock,phone,1.62,-0.04147453686342159,-0.044761914759874344
stock,CD,1.31,-0.004957623940598515,-0.012754255905747414
stock,jaguar,0.92,0.06514212855321383,0.05553233250975609
stock,egg,1.81,0.058291457286432175,0.06063046678900719
fertility,egg,6.69,-0.08953723843096079,-0.08470676839351654
stock,live,3.73,-0.18412810320258008,-0.18927748501300812
stock,life,0.92,-0.10971424285607141,-0.11003625392913818
book,library,7.46,-0.012318307957698943,-0.0011410702718421817
bank,money,8.12,-0.056401410035250885,-0.05289000645279884
wood,forest,7.73,-0.11768244206105154,-0.11434408277273178
money,cash,9.15,-0.04490062251556289,-0.04683104529976845
professor,cucumber,0.31,,
king,cabbage,0.23,0.01890647266181655,0.030706897377967834
king,queen,8.58,-0.08400210005250133,-0.0782167986035347
king,rook,5.92,,
bishop,rabbi,6.69,0.03235430885772145,0.038635917007923126
Jerusalem,Israel,8.46,0.08339458486462162,0.08771885931491852
Jerusalem,Palestinian,7.65,-0.005203630090752269,-0.0019809044897556305
holy,sex,1.62,0.11255531388284709,0.11881448328495026
fuck,sex,9.44,0.023021075526888174,0.014142082072794437
Maradona,football,8.62,,
football,soccer,9.03,0.10000150003750095,0.08703702688217163
football,basketball,6.81,0.08604215105377634,0.08413098752498627
football,tennis,6.63,0.110780769519238,0.09964842349290848
tennis,racket,7.56,0.06553063826595666,0.058645475655794144
Arafat,peace,6.73,,
Arafat,terror,7.65,,
Arafat,Jackson,2.5,,
law,lawyer,8.38,-0.048890722268056706,-0.047867413610219955
movie,star,7.38,0.12622815570389262,0.10077512264251709
movie,popcorn,6.19,0.09017025425635641,0.09470044076442719
movie,critic,6.73,0.016381909547738695,0.024342969059944153
movie,theater,7.92,-0.08576464411610292,-0.06031611189246178
physics,proton,8.12,-0.08596264906622667,-0.07439249008893967
physics,chemistry,7.35,-0.045784144603615094,-0.043561484664678574
space,chemistry,4.88,-0.1246921173029326,-0.14680996537208557
alcohol,chemistry,5.54,0.03203480087002175,0.04020865261554718
vodka,gin,8.46,,
vodka,brandy,8.13,,
drink,car,3.04,0.0596279906997675,0.06463337689638138
drink,ear,1.31,-0.014488862221555541,-0.01632193848490715
drink,mouth,5.96,-0.0189004725118128,-0.009753219783306122
drink,eat,6.87,-0.12546463661591542,-0.13193154335021973
baby,mother,7.85,0.00027900697517437944,-0.0018508339999243617
drink,mother,2.65,-0.04502212555313883,-0.04444747418165207
car,automobile,8.94,0.03863946598664967,0.04292840510606766
gem,jewel,8.96,,
journey,voyage,9.29,0.005391134778369459,0.0006676058983430266
boy,lad,8.83,-0.06313357833945848,-0.06303234398365021
coast,shore,9.1,0.08337958448961225,0.08502797037363052
asylum,madhouse,8.87,,
magician,wizard,9.02,0.10049201230030752,0.10081548243761063
midday,noon,9.29,-0.02545713642841071,-0.025829138234257698
furnace,stove,8.79,,
food,fruit,7.52,0.011908797719943,0.012967463582754135
bird,cock,7.1,-0.021812045301132534,-0.03289363533258438
bird,crane,7.38,0.06462761569039227,0.0627979040145874
tool,implement,6.46,-0.023666091652291308,-0.02389206364750862
brother,monk,6.27,0.12248406210155255,0.12287338823080063
crane,implement,2.69,0.015037875946898675,0.0010929746786132455
lad,brother,4.46,0.006832670816770421,-0.0007857356104068458
journey,car,5.85,-0.002020550513762844,-0.001285608159378171
monk,oracle,5.0,,
cemetery,woodland,2.08,-0.00013800345008625216,-0.003146911272779107
food,rooster,4.42,-0.028554713867846703,-0.037676841020584106
coast,hill,4.38,-0.0016935423385584644,0.009570888243615627
forest,graveyard,1.85,-0.08228155703892599,-0.07606606185436249
shore,woodland,3.08,-0.001684542113552839,-0.012569978833198547
monk,slave,0.92,0.0463601590039751,0.027574770152568817
coast,forest,3.15,0.02109952748818721,0.016649173572659492
lad,wizard,0.92,-0.016870921773044327,-0.014697636477649212
chord,smile,0.54,0.06226205655141379,0.06601374596357346
glass,magician,2.08,-0.04679366984174605,-0.051017358899116516
noon,string,0.54,0.08665566639165981,0.08219366520643234
rooster,voyage,0.62,0.06128253206330159,0.05891529470682144
money,dollar,8.42,0.024179104477611943,0.009023387916386127
money,cash,9.08,-0.04490062251556289,-0.04683104529976845
money,currency,9.04,0.0191764794119853,0.025559166446328163
money,wealth,8.27,0.043867096677416936,0.0531812384724617
